symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
ETHUSD,2019-04-30 00:00:00+00:00,163.7543214039,164.7592507903,156.5540658756,156.6283522101,661939.09976916,163.7543214039,164.7592507903,156.5540658756,156.6283522101,661939.09976916,0.0,1.0
ETHUSD,2019-05-01 00:00:00+00:00,161.4893576162,165.5236834688,159.7714905365,163.6894616272,423074.20104033,161.4893576162,165.5236834688,159.7714905365,163.6894616272,423074.20104033,0.0,1.0
ETHUSD,2019-05-02 00:00:00+00:00,162.1799108705,163.758656659,159.225510936,160.8165336198,424198.90505773,162.1799108705,163.758656659,159.225510936,160.8165336198,424198.90505773,0.0,1.0
ETHUSD,2019-05-03 00:00:00+00:00,169.2385364582,172.9838516267,162.067230414,163.0760699891,662054.10380601,169.2385364582,172.9838516267,162.067230414,163.0760699891,662054.10380601,0.0,1.0
ETHUSD,2019-05-04 00:00:00+00:00,164.3303212441,171.8899519971,160.4394421628,168.4545129228,481303.78490942,164.3303212441,171.8899519971,160.4394421628,168.4545129228,481303.78490942,0.0,1.0
ETHUSD,2019-05-05 00:00:00+00:00,164.2358625616,166.4799695906,160.1526304279,164.7768605353,292283.51389572,164.2358625616,166.4799695906,160.1526304279,164.7768605353,292283.51389572,0.0,1.0
ETHUSD,2019-05-06 00:00:00+00:00,174.4469192105,179.5870466959,159.6305041588,164.4250054759,774677.09848721,174.4469192105,179.5870466959,159.6305041588,164.4250054759,774677.09848721,0.0,1.0
ETHUSD,2019-05-07 00:00:00+00:00,169.7316327933,183.8320381563,168.6682029946,173.9688896439,1063295.67771363,169.7316327933,183.8320381563,168.6682029946,173.9688896439,1063295.67771363,0.0,1.0
ETHUSD,2019-05-08 00:00:00+00:00,171.9589539894,174.2519129073,165.1836452714,170.1593281543,517847.11799762,171.9589539894,174.2519129073,165.1836452714,170.1593281543,517847.11799762,0.0,1.0
ETHUSD,2019-05-09 00:00:00+00:00,171.209727469,174.9216611865,166.9981435611,171.7446607582,463292.0168521,171.209727469,174.9216611865,166.9981435611,171.7446607582,463292.0168521,0.0,1.0
ETHUSD,2019-05-10 00:00:00+00:00,173.0017680751,176.8072826691,168.5084291547,171.1090575767,694723.1367758401,173.0017680751,176.8072826691,168.5084291547,171.1090575767,694723.1367758401,0.0,1.0
ETHUSD,2019-05-11 00:00:00+00:00,195.6129555286,202.9458147549,172.9401133114,173.0700284994,1441304.71540985,195.6129555286,202.9458147549,172.9401133114,173.0700284994,1441304.71540985,0.0,1.0
ETHUSD,2019-05-12 00:00:00+00:00,188.1856716557,203.1606272795,182.4104076231,191.3336872102,999172.1254215601,188.1856716557,203.1606272795,182.4104076231,191.3336872102,999172.1254215601,0.0,1.0
ETHUSD,2019-05-13 00:00:00+00:00,195.7851357692,207.1137491207,185.5276092981,188.1270752787,1150500.1715264502,195.7851357692,207.1137491207,185.5276092981,188.1270752787,1150500.1715264502,0.0,1.0
ETHUSD,2019-05-14 00:00:00+00:00,216.6531921816,219.8998429742,194.3756871763,195.789690446,1488605.4886644701,216.6531921816,219.8998429742,194.3756871763,195.789690446,1488605.4886644701,0.0,1.0
